 그러고 보니 A작가의 드라마에서 배우들이 유독 사고도 자주 당하고 아프거나 죽는 일도 많은 게 다 이유가 있었던 것이었습니다.,1
 올 하반기 기대작 중 하나로 손꼽히는 드라마가 배우들의 몸값으로 벌써 화제가 되고 있습니다.,1
 이 작품은 일찌감치 톱배우가 물망에 오른 상태라고 한다.,1
 주연배우들이 모두 1억 원에 육박하는 출연료를 요구하고 있어서 이대로 가면 회당 주역들의 출연료만으로도 3억대 드라마가 나올 판입니다.,1
 한 연예관계자는 ‘한 남자 주인공이 이미 8000만원을 부른 상태다 경력으로 보나 인기로 보나 여자 주인공도 최고 8000만에서 시작하지 않겠나 남자 넘버2도 한류스타를 잡아놓은 상태라 출연료가 어마어마할 게 뻔하다 일본에서 톡톡히 값을 받아 선계약을 해놓고 PPL과 협찬에서 끌어올 수 있는 모든 돈을 모아야 세팅이 될 것 같다 여차하면 최근 몇몇 한류스타 작품처럼 출연자가 확 줄어드는 드라마가 나올 것 같다’고 씁쓸해한다고 한다.,1
 톱스타 A양이 매번 작품에서 만난 남자배우들 덕분에 무사히 위기를 넘기고 있다는 소문이 파다합니다.,1
 A와 함께 호흡을 맞춘 남자 배우들은 어떤 상황에서도 'A에게 다 맞춰라 나는 괜찮다'고 해 촬영장에서 큰 불화 없이 잘 마쳤다고 합니다.,1
 보통 촬영할 때 시간이나 크레딧의 이름순서 등 때문에 배우들끼리 마찰을 빚기도 한다고 알려졌다.,1
 A와 함께 한 남자 배우 2명은 '모든 것을 다 A에게 맞춰달라'며 모두 배려한 덕에 A의 마음을 편안하게 해줬다고 한다.,1
 단 A에게는 한번의 위기만이 있었을 뿐이라고 한다.,1
 당시 A와 함께 한 남자 배우는 어떤 상황에서도 양보하지 않았던데다 A의 연기력에 문제가 있다며 호통을 쳐서 마음에 큰 상처를 받았다고 한다.,1
 연예계 한 관계자는 'A가 현재 이렇게 까다롭게 변한 데는 신인 시절 마음고생이 너무 심했기 때문'이라면서도 '이제는 시간이 지난만큼 모든 사람들에게 조금 마음을 열었으면 좋겠다'며 씁쓸함을 감추지 못했습니다.,1
 연예계 공인커플이엇다가 헤어진 여배우 남상미가 여전히 배우 이상윤에 대해 마음을 접지 못하고 있어 주위를 안타깝게 하고 있습니다.,1
 남상미는 평소에도 이상윤과 좋은 관계로 헤어졌다고 강조해왔다.,1
 측근에 의하면 실제로 A에 대한 사랑이 남아있어서 그런거라고 합니다.,1
 급기야 최근 남상미는 이상윤과 드라마 동반 출연까지 기대하는 모양입니다.,1
 남상미의 측근에게 "남상미가 새 드라마에 출연한다"면서 농담 반 진담 반으로 "둘이 한 드라마에 출연하는 건 아무래도 무리겠죠"라고 했다고 한다.,1
 이에 이상윤의 측근은 "여휴~ 어떻게 그러냐" 며 난감한 표정을 지었다고 합니다.,1
 최근 결혼한 엄태웅이가 알고보니 드라마 상대역이었던 이요원과 수상한 관계였다고 한다.,1
 문제는 당시 이요원이 유부녀였다고 한다.,1
 드라마를 촬영하면서 급격히 친해진 두 사람의 관계에 대한 소문이 퍼지면서 이요원 남편이 직접 엄태웅을 찾아갔다고 한다.,1
 화가 난 이요원의 남편이 엄태웅의 집 앞에 주차되 있던 차를 때려 부쉈는데 파손된 차가 엄태웅의 차가 아니었답니다.,1
 느닷없이 생면부지인 사람의 차를 왜 부셨는지를 알아보는 과정에서 엄태웅과 이요원의 관계가 자연스럽게 연예가에 알려지게 됐다고 합니다.,1
 특히 케스팅 문제가 가장 골치아픈데 여자주인공으로 물망에 오른 A양이 터무니없는 요구를 했다고 한다.,1
 A양은 자신이 드라마에 출연하는 조건으로 무려 5명을 배역에 끼어넣어 달라고 요구했습니다.,1
 무리한 조건에 제작사는 단 캐스팅을 포기했지만 워낙 대안이 없는지라 고심끝에 울며 겨자먹기로 제안을 수락했다고 합니다.,1
 앞으로 줄줄이 캐스팅 될 주연급 배우들이 선례를 빌미로 어떤 조건을 내세울지 생각만해도 머리가 아픕니다.,1
 A양을 섭외한건 좋은 선택이지만 이 때문에 드라마는 산으로 갈 확률이 커졌다.,1
 지금 이미지가 좋지만 김병만은 개콘에서여자후배 남자후배 가릴 것없이 때릴 정도로 악명이 높은 선배라고 합니다.,1
 어렸을때 아빠한테 많이 맞아서 자란 영향이 크다고 한다.,1
 지금 사실혼 관계인 부모 김모씨가 연예인급 미모는 아니지만 같이사는 이유가 가정 폭력을 견뎌내고 있다고합니다.,1
 인기 절정의 배우 A군이 스타병에 걸렸다는 소식입니다.,1
 A군은 올 한해 화제가 된 드라마에 주인공으로 출연했다.,1
 문제는 그의 태도가 이전과는 다른 점에 있다고 한다.,1
 평소 시원시원한 성격에 방송관계자들과도 사이가 좋았다던 그가 까칠함의 대명사로 변신했다고합니다.,1
 얼마전 한 음악방송 프로그램 비공개 녹화현장에서 "자신만 공개로 할 수 없겟느냐"는 무리한 요구를 해 제작진과 실랑이를 벌였다고 한다.,1
 주연급 분량과 존재갑에도 불구 조연급 대우를 받아 주변 동료들을 안타깝게 했다고 한다.,1
 쿨하기로 소문난 배우 A군과 소속사 측은 주변의 민망함에도 불구하고 끝까지 의리를 지켰지만 연말 시상식에 초대조차 받지못해 결국 울분을 토했다고 한다.,1
 소속사의 항의에 방송사에서 뒤늦게 A배우를 초청한 것으로 보인다.,1
 조연상 후보로 이름을 올렸다고 한다.,1
 자존심이 상한 A군은 조연상에서도 빼달라고 요청했다고 한다.,1
 더군다나 한류스타인 A군은 중국에서 워낙 큰 인기를 얻어 20여개의 방송 시상식에서 러브콜을 받았다고 한다.,1
 국내 스케줄 때문에 이를 모두 거절했다고 한다.,1
 평소 의리가 있어 방송 PD들과도 사이가 좋았다는 그가 졸지에 봉변을 당한 듯하다.,1
 하루빨리 기분을 풀었으면 한다.,1
 공주대접만 원해 아역배우 출신 A양의 까다로움이 방송계에서 회자되고 있습니다.,1
 A양의 수많은 요구에 무대 인사를 하기가 힘들 정도라고 한다.,1
 한 가수의 태국 뮤직비디오 촬영에서는 한 브랜드의 물을 요구해 구하는데 애를 먹었다고 합니다.,1
 술자리에서는 소주 4병을 시켜서 자신에게 주어진 양만 먹는다고 합니다.,1
 영화를 같이 직은 중견차 배우들도 제작진의 대우를 불평불만없이 받아들이는 것을 보면 A양의 요구가 여간 까다로울 수가 없나봅니다.,1
 아역배우에서 성인 배우로 완벽하게 변신하여 성공가도를 이어가고 있는 A양 인성적인 측변까지 따라온다면 더욱 훌륭한 배우가 되지 않을까 싶습니다.,1
 배우 A가 술버릇 때문에 대형사고를 쳤다고 합니다.,1
 A는 점잖아 보이는 이미지와 달리 다혈질 성격으로 술만 마시면 주먹이 먼저 나가기로 유명하다고 한다.,1
 데뷔 무렵 같은 드라마에 출연해 무척 친해진 톱스타 A와 오랜만에 술자리에서 그만 사단이 났습니다.,1
 기분좋게 만취가 A가 별거 아닌 일로 시비가 붙어 A를 때렸다고 한다.,1
